flight_no.,date_and_time_(utc),"version,_booster[j]",launch_site,payload_mass_kg,payload_mass,orbit,customer,launch_outcome,booster_landing,launch_date
291,"January 18, 2024 21:49[34]",F9 B5 B1080‑5,"Kennedy, LC‑39A",3.0,"~13,000 kg (29,000 lb)",LEO (ISS),Axiom Space,Success,Success (LZ‑1),2024-01-18
291,"Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.",2021.0,"Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.",
292,"January 24, 2024 00:35[38]",F9 B5 B1063‑16,"Vandenberg, SLC‑4E",7.0,"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),2024-01-24
292,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,22.0,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,
293,"January 29, 2024 01:10[39]",F9 B5 B1062‑18,"Kennedy, LC‑39A",6.0,"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),2024-01-29
293,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,
294,"January 29, 2024 05:57[40]",F9 B5 B1075‑9,"Vandenberg, SLC‑4E",7.0,"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),2024-01-29
294,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.",22.0,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.",
295,"January 30, 2024 17:07[41]",F9 B5 B1077‑10,"Cape Canaveral, SLC‑40",20.0,"3,726 kg (8,214 lb)",LEO (ISS),Northrop Grumman (CRS),Success,Success (LZ‑1),2024-01-30
295,"First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.",9.0,"First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.",
296,"February 8, 2024 06:33[44]",F9 B5 B1081‑4,"Cape Canaveral, SLC‑40",,"1,694 kg (3,735 lb)",SSO,NASA (LSP),Success,Success (LZ‑1),2024-02-08
296,"This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]",1.7,"This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]",
297,"February 10, 2024 00:34[46]",F9 B5 B1071‑14,"Vandenberg, SLC‑4E",7.0,"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),2024-02-10
297,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,22.0,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,
298,"February 14, 2024 22:30[47]",F9 B5 B1078‑7,"Cape Canaveral, SLC‑40",124.0,Unknown,LEO,USSF / SDA,Success,Success (LZ‑2),2024-02-14
298,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,0.0,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,
299,"February 15, 2024 06:05[49]",F9 B5 B1060‑18,"Kennedy, LC‑39A",1.0,"1,931 kg (4,257 lb)",TLI,NASA (CLPS) / Intuitive Machines,Success,Success (LZ‑1),2024-02-15
